epoch,lejepa_total,pred_avg,sigreg_avg,pred_P3,sigreg_P3,pred_P4,sigreg_P4,pred_P5,sigreg_P5
1,1.2776215259742736,0.20935734567403794,5.550678138427735,0.1746272915315628,7.662498554840088,0.19493451196491718,5.928557177276612,0.2585102336347103,3.0609786793136595
2,0.7058700963783264,0.21548904906749725,2.667394208755493,0.18988988090515135,3.725716605834961,0.20828825165748596,2.4629519648361207,0.248289014210701,1.8135140525054931
3,0.6006692385673523,0.2121017673921585,2.154939083404541,0.1904741182756424,2.9411692659759523,0.20569356384277343,1.9504311310195923,0.24013762038230896,1.5732168556594848
4,0.5397285637569428,0.20934279061317443,1.861271619796753,0.19093182165145875,2.5065993669891355,0.20263429032325744,1.6380724089813232,0.23446225978851318,1.4391430811309815
5,0.5011701047420501,0.20704560473442077,1.6776680625534057,0.19005324712753296,2.2448019039535523,0.19958340882301331,1.4332589626312255,0.2315001585674286,1.354943319015503
6,0.47337862404823305,0.20436329247474672,1.5494399112319945,0.18908065027475357,2.0501203103637695,0.19522802945137024,1.3077289070510865,0.2287811978340149,1.2904705213546752
7,0.4548722208595276,0.20304727035999298,1.4621719821929933,0.1888228540802002,1.9026963810348512,0.19230244881868364,1.2377277707672119,0.22801650826454162,1.2460918007278443
8,0.4408827180862427,0.2010712698841095,1.4001284676742554,0.18831721832752227,1.7893836239242553,0.1883157440519333,1.2006725004768373,0.22658084715366364,1.2103292725372314
9,0.4290397189617157,0.19880181579589845,1.3499912924575805,0.18676770559072495,1.6974622083282471,0.18458508404016494,1.175792094745636,0.22505265801906585,1.1767195714378358
10,0.4184693907928467,0.19579726234436035,1.3091578639602661,0.18440456661939622,1.6197668524169921,0.18027262617349624,1.1563817308425903,0.22271459415912628,1.1513250109863282
11,0.4136453634548187,0.1951012139558792,1.2878219218826295,0.1839706971359253,1.5821635845565796,0.17878039522171021,1.1460419435310363,0.2225525503873825,1.1352602389335633
12,0.4084435075759888,0.19387088892936707,1.2667339433670044,0.18273967473983765,1.5576020728302002,0.17692726936101913,1.1271341691589356,0.22194572186470032,1.1154655895423888
13,0.4041258482170105,0.19226684973716734,1.2515618070602417,0.18085153414726257,1.5304567514038085,0.17485561625480653,1.123619898777008,0.22109339932918548,1.100608771018982
14,0.3993016066646576,0.19003271870851518,1.23637712348938,0.17848176077365877,1.5143503491973878,0.17247264537096024,1.108629109249115,0.21914374933242797,1.0861519099998473
15,0.39654513041496275,0.18893277029275893,1.2269945402526856,0.17701294399738313,1.5018216348266602,0.17107566392660142,1.103257034740448,0.2187097025680542,1.0759049541664123
16,0.3931119998264313,0.187468424577713,1.2156862668609618,0.17530849340200425,1.4844743303680419,0.16954974762678146,1.0966765982627869,0.21754703264713288,1.0659078741836547
17,0.39116089109420776,0.18672073424816132,1.2089214883041381,0.17423631386280058,1.4775445818710327,0.1684400188279152,1.0916051598930359,0.21748587026119232,1.0576147274971008
18,0.38818670128822325,0.18500499598264694,1.2009134925842284,0.1723355432653427,1.4665589558029175,0.16671869742155074,1.086415059452057,0.2159607468223572,1.0497664653015137
19,0.38613001667022706,0.18373153997421265,1.1957238928413392,0.170798378200531,1.460393565673828,0.16530159408330916,1.0825449112701415,0.215094647564888,1.044233201007843
20,0.38450690799713133,0.18345222277164458,1.1887256171035767,0.17001543832063676,1.449950495071411,0.16498753336668015,1.0775699190711976,0.21535369658470155,1.0386564357948302
21,0.38260574270248415,0.1820471528840065,1.1848400733566284,0.16854162651538848,1.4472602445602416,0.16359004405498503,1.0748587700653076,0.21400978812217714,1.0324012086105347
22,0.3809593019104004,0.18172418231487275,1.1778997500991821,0.16815237668514252,1.4332316709136963,0.16358985219240188,1.0710515878486633,0.21343031814575195,1.0294159909439087
23,0.37916291786193845,0.18051812150955202,1.1737420738601685,0.16664849016427993,1.4297088876724242,0.16225554454088212,1.0667060201263427,0.21265032994270325,1.0248113150215148
24,0.37733523509025574,0.1793468868994713,1.1692885976028442,0.16524868455648423,1.4243586891174316,0.16092124235630034,1.0615922652435303,0.2118707341480255,1.0219148392295838
25,0.37660365998268125,0.178979443025589,1.1671004978752135,0.1646766076874733,1.4221407654571534,0.16087091824293137,1.0597461018753052,0.2113908035850525,1.0194146273422242
26,0.3753545185470581,0.17847844844818114,1.1628587703323365,0.16403823367834092,1.4130031485748291,0.16039233430862426,1.059809602947235,0.21100477741241455,1.015763558654785
27,0.3744365230178833,0.177843759701252,1.1608075477600097,0.16317755023956299,1.4134366779708862,0.15977894139289855,1.055522949810028,0.21057478655338288,1.0134630115699768
28,0.37362704939842223,0.17761847083568574,1.1576613349151612,0.16285435470104218,1.4093304475021362,0.15961910275936125,1.053911127796173,0.2103819542503357,1.0097424300575257
29,0.3723280669116974,0.17692023359060288,1.153959370880127,0.161951884868145,1.402626601638794,0.1590563651895523,1.0509019463348388,0.20975245133399964,1.0083495648384093
30,0.37095638748168946,0.1759305588030815,1.1510596725845337,0.16084083671808244,1.3982885572052002,0.1579780454301834,1.0490203188323974,0.2089727943277359,1.0058701393699645
31,0.37108834223747256,0.17621710073947908,1.1505732794570922,0.16091084153413773,1.3963020038604737,0.15859619067907332,1.048173270740509,0.2091442706823349,1.0072445616531371
32,0.3687451275444031,0.17439737800121308,1.1461360975646973,0.15917814386129378,1.3928854639434813,0.15658304220199584,1.044183459148407,0.20743094849586488,1.0013393731117248
33,0.368349373922348,0.17460828905820847,1.1433136842346192,0.15907269637823104,1.3865681945037842,0.15704888669490813,1.0422780965995788,0.20770328495502471,1.0010947638702392
34,0.3680516623210907,0.17437431320905686,1.1427610296440125,0.15864317456960678,1.387144121131897,0.15675265428543092,1.0401252674102783,0.2077271105670929,1.0010137013244629
35,0.36721747797966003,0.17388363995552064,1.1405528002548218,0.15786935851335526,1.386076498298645,0.15639055175065994,1.0364508123397826,0.20739100992202758,0.9991310935020447
36,0.3657809081459045,0.173193683784008,1.1361297753143311,0.1572124850845337,1.3756870948028563,0.15583550193786622,1.035550222644806,0.20653306393623352,0.997152012386322
37,0.36573126302719117,0.17337968408346177,1.1351375506591797,0.15711592118263246,1.3747748790359497,0.15601116326332093,1.0340687060546876,0.20701196748733522,0.9965690696907044
38,0.36477605303764343,0.17229214800596238,1.1347116447257997,0.15612936609983444,1.3774651765823365,0.15514647001504897,1.0328979096603395,0.20560060781002046,0.9937718518257141
